SQGDP2 Gross domestic product (GDP) by state 1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of current dollars) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3
1000,Alabama,1,All industry total,152640.8,154962.5,156410.9,159867.4,161258.9,163487,164821.2,165847.3,166535.8,168952.2,171085,172140.4,172011.7,174002.6,174246.9,170486.2,168107.3,167629.9,168164.1,169490.8,170131,173366,177418.2,178096.8,178013.6,180126.2,182389.7,184869.6,185712.3,187142.2,185932.6,186408.8,190975.5,190556,192536.9,191855.6,189970.9,193552.9,196075.6,197244.7,197319.3,200574.9,202377.2,201339.5,201373.7,203904.4,204278.5,205762.8,207637.5,208359.9,210680.7,214779.5,217369.7,220572.2,223140.7,225859.4,227735,229939.2,232144.7
1000,Alabama,2,  Private industries,127919.3,129987.8,131254.7,134347.6,135791.9,137261.1,138802.7,138723,138682.9,140792.3,142710.1,143097.5,143209.7,144827.7,144675.3,140496,137925.8,136614,136950.7,138415.6,138914.3,141729.5,145708.7,146683.6,146185.2,148112.5,150204.5,152686.1,153453.5,155224.7,154216.4,154229.2,158863.2,158350.7,160314.2,159485,157302.8,160712.5,162832.6,163774.8,163727.8,166609.6,167959,167166.8,167158.4,169489.4,169488.3,170706.5,172331.7,172902.2,175417,178932.5,181210.2,184109.2,186496.1,188887.2,190632.5,192571.8,194308.9
1000,Alabama,3,"      Agriculture, forestry, fishing and hunting",2659.8,2643.4,2600.6,2617.7,1968.9,2090.1,2179.1,2160.8,2021.9,1980.2,1981.1,1794,2179.6,1993.8,1717.8,1688.6,1919.8,1882.6,1926.6,1934.9,1511.4,1810.1,2099.1,2292.8,1812.3,1611,1589.1,1351.7,2404.2,1938.8,1527.3,1338.4,2755.7,2809.9,4179.2,2710,2380.7,2602.3,2544,2547.7,2612.8,2625.8,2648.9,2356.9,2038.5,2077.4,1989.9,1809.7,2406.3,2392.5,2202,2232.9,2359.5,2380,2117.7,2243.8,1878.1,1942.7,2029.6
1000,Alabama,6,"      Mining, quarrying, and oil and gas extraction",2421.4,2645.8,2783.3,3137.7,2939.1,2841.3,2901.8,2899,3135.6,3476.3,3544.4,3571.6,3580.5,4235.1,4174.5,3406.1,2945.2,2713.7,2714.2,2906.1,3287.5,2900.5,3027.4,2922.6,2973.6,3029.1,2742.8,3052.3,2948.8,2959,2858.8,2800.7,2967.1,2856.3,2782.5,2436.5,2522.3,2564.6,2518.8,2493.8,2166.5,2629.7,2632.7,2239.6,1616,1601.7,1719.8,1961.9,2442.3,2758.9,2804.8,3129.6,3056.7,2964.5,3032.7,2975.3,2679.9,2755.2,2581.4
1000,Alabama,10,      Utilities,3586.6,3730,4008.8,3970.7,4397.9,4284,4522.2,4311.2,4428.5,4633.4,4729.5,4506.6,4291.6,4584.8,5036.6,4964.4,5211.1,4852.4,4917.6,5228.8,4932.6,5372.1,5928.6,6102.4,5463.4,5704.2,5950.4,6165.3,5480.6,6052.6,5726.8,5497.4,5743.3,5864,5502.6,5611.4,5118.2,5917.8,5877.8,6530,5740.2,6087.1,6081.6,6102.2,5766.2,6288.5,6573.6,6172.9,5951.4,5791.5,6367,6507.8,6357.9,6213.4,6554,6837.1,7057.4,7071.8,7155.6
1000,Alabama,11,      Construction,7434.9,7605.6,7750.8,8116.4,8353.5,8522.5,8524.2,8478.4,9037,9130.7,9202.8,9292.2,8707.4,8403.3,8327,8034,7810.7,7601.5,7302.5,6932.7,6961.6,6855.2,6881.8,6539.3,6554.3,6608.6,6553.9,6743.5,6897.5,6923,6811.8,6882.2,6756,6768.1,6712.7,6620.9,6638.4,6610.8,6688.8,6764.8,6680.7,6803.3,6863.4,6845.9,7321.2,7192.3,7022.1,7218.3,7576.5,7202.2,7343.4,7377.4,7563.8,7743.6,7961.2,8117.7,8246.8,8420.5,8432.5
1000,Alabama,12,      Manufacturing,27768.3,27502.5,27802.5,28958.5,29575.7,29958.5,29539.4,28979.1,28414.8,29081.2,29222.6,29442.7,29323.8,29620,29514.5,27559,25314.4,24759.8,25184.1,25745.1,25985.2,26631.8,28268.4,28807.7,30417.1,30939,31454.3,32315.7,31894.7,32012.8,31728.6,32051.2,33317.8,33403.8,33715.8,34033.6,33312.5,33268.9,33471.6,33076,32826.1,33403.1,33704.9,33544.4,34047.4,34707.7,34236,34389.4,34818.1,34687.5,35565,36491.1,37034.7,37101.5,37950.3,38382.1,38350.4,38618.4,38714.4
1000,Alabama,13,          Durable goods manufacturing,16549.4,16766.9,16949.4,17974.3,18352.2,18441.4,18159.3,17994.1,17324,17589.1,17837.4,18154.4,18942.8,19261,18800.5,17260.3,14947.1,13423.7,13295.9,13660.5,14989.1,15921.5,17111.2,17020.7,17536.1,17284.9,17674.6,18534.5,18788.3,19363.6,19167.9,19651.3,20180.8,20447.5,20509.9,20564.7,19877.8,20151.2,20722.9,20811.2,20835.6,21241.8,21692.7,21666.5,22060.8,22209.4,21739.7,22002.3,22165.8,22090.5,22503.6,22886.6,23083.9,23249,23670.3,23966.8,24481.9,24589.5,24733.5
1000,Alabama,25,          Nondurable goods manufacturing,11218.9,10735.6,10853.2,10984.2,11223.5,11517.1,11380,10985,11090.7,11492.1,11385.3,11288.4,10380.9,10359.1,10714,10298.7,10367.3,11336.1,11888.1,12084.6,10996.1,10710.2,11157.2,11787,12881,13654.1,13779.7,13781.2,13106.4,12649.2,12560.7,12399.9,13137.1,12956.2,13205.9,13468.9,13434.6,13117.7,12748.7,12264.9,11990.5,12161.3,12012.2,11877.9,11986.6,12498.3,12496.2,12387.1,12652.3,12597,13061.4,13604.4,13950.8,13852.4,14279.9,14415.3,13868.6,14028.9,13980.8
1000,Alabama,34,      Wholesale trade,8747.9,8831.8,8989,9302.1,9346.4,9466.8,9677.2,9680.4,9819.3,9913,9894.9,9972.7,10175.9,10411.9,10552.1,10377.1,9905.1,9720.5,9658.9,9887,9892.3,10144.2,10292.2,10230.8,10077.3,10267.5,10510.2,10622.3,10488,10685.8,10671.1,10570.9,11015.4,10878.1,11123.3,11337,11016.7,11177.8,11481.8,11358,11427.9,11466.2,11462.3,11539,11581.8,11814.8,11821.7,12030.3,11889.9,11944.8,12037.9,12038.1,12107.9,12215,12377.8,12714.5,12817.8,12789.5,12974.8
1000,Alabama,35,      Retail trade,11560.6,11765.1,11759.7,12142,12282.9,12332.8,12323.5,12236,12301,12442.8,12376.8,12446.8,12014.4,12101,12296.8,12147,11783.2,11716.3,11621.9,11952.3,11845.4,12078.2,12050.1,11875.2,12167.9,11995.9,12173.5,12226.3,12572.3,12565.4,12510.1,12553.9,12810.7,12832.5,12941.1,12853,12686.4,12858.3,13123.3,13230.8,13165.3,13396.5,13734.3,13790.6,13901.3,14227.4,13962.8,14158.6,14056.4,14074.2,14185.9,14423.9,14796.8,15324.3,15470.4,15596.1,15916.1,16014.8,16341.9
1000,Alabama,36,      Transportation and warehousing,3928.7,4110.2,4229.4,4387.7,4455.4,4504.6,4538.7,4574.8,4417.5,4514.9,4523.8,4759.2,4636.6,4755.2,4794.2,4919.3,4490,4294,4356.1,4486.9,4497.1,4652.1,4771.7,4771.9,4805.3,4767.2,4790.8,4885.2,4704.8,4876.8,4799.8,4828.1,4803.8,4765.5,4812.8,4917.8,4745.7,4916.9,5089.4,5218.3,5100.2,5204.4,5298.2,5248.1,5289.2,5417.5,5331.3,5295.6,5654.1,5639.2,5700.2,5821.8,5979.1,6080.9,6191.1,6367,6385.1,6370.4,6385.2
1000,Alabama,45,      Information,5159,5300.2,5177.5,5111.5,5236.7,5339.2,5330.4,5130.2,4937,4837.8,5106.2,4784,5040.5,5131.9,5092.1,4948.2,4726.1,4647.8,4668.6,4677,4537.6,4557.5,4607.4,4648.8,4439.4,4577.4,4532,4378.6,4259.1,4331.5,4251.7,4167.2,4457.5,4476.6,4538.9,4387.8,4412.7,4368,4328.7,4504.7,4599.8,4665,4694.2,4676.5,4669.9,4608.6,4638.5,4609,4573,4642.9,4720,4735.1,4594.2,4805.7,4887.4,4857.6,5171.3,5220.3,5280.3
1000,Alabama,51,      Finance and insurance,9712.1,10116.7,9507.2,9393.2,9094.6,9107.1,9371.7,9590.8,8966.1,9008.6,9549.7,8794.6,9536.8,8783.2,7430.3,5814.8,7656.7,8129,8006,7870.6,8137.5,8391.5,8476.7,8481.8,7406.9,7728.7,8303.4,8922.2,9373.5,10146.6,10722.3,10636.6,10605,10218.9,10257.5,10282.2,11063,11843.5,11775.8,11790.6,12360.4,12730.2,12185.3,11845.7,11187.8,11381.6,11760.1,12186.5,11576.6,11783.3,11974,12447.6,12790.9,13382.7,13476.9,13144.3,13422,13693.4,13640.4
1000,Alabama,56,      Real estate and rental and leasing,13810.9,14080.4,14336.8,14406.3,14406.9,14771.6,15369.9,15990,15886.1,16073.1,16548.2,17007.3,16723.3,17226,17490.4,17784,17886,17709.2,17887.5,17711.4,18098.6,18471.9,18630,19195.1,19191.7,19802.5,19962.1,20377.8,20102.4,20149.5,20184.5,20200.9,20327.3,20243.8,20472.6,20537,20205.6,20402.5,20801.7,20810.8,21290.3,21451.8,21740.5,21885.5,22120.6,22281.8,22255.9,22205.7,22225.4,22365.5,22446.7,22809.8,23100.6,23485.2,23653,23990.4,24212.7,24492.3,24736.8
1000,Alabama,60,"      Professional, scientific, and technical services",8022.6,8160.8,8444.8,8446.3,8829.9,8998.5,9146.9,9137.8,9400.6,9464.1,9603.1,9807.7,10060,10391.8,10661.7,11063.8,10484.1,10567.5,10590.5,10759.9,10376.8,10557.8,10809.8,10920.2,10732.8,10890.9,11096.6,11088.4,10963,11198.2,11193.4,10975.5,11368.8,11252.8,11243,11258.1,11166.7,11287,11563.8,11552,11668.4,11813.7,12000.3,12138.4,12183.2,12187.2,12331.1,12508.7,12751.3,12849.4,13032.6,13428.9,13501.5,13852.4,13951.5,13973.8,14237.8,14582.8,14753.6
1000,Alabama,64,      Management of companies and enterprises,992.9,1119.3,1184.5,1182.4,1256.2,1191.9,1274.8,1312.3,1434.4,1472.2,1328.6,1446.9,1373,1383.2,1494.7,1382.4,1446.7,1538.9,1524.3,1464.6,1593.6,1665.3,1646.1,1743.4,1740.1,1697.3,1794.3,1762.3,1808,1864.6,1808.9,1956.8,1905.7,1800.6,1787.1,1868.4,1577.4,1738.9,1867.4,1843.5,1766.2,1821.9,1856.2,1850.4,2008.1,1973.8,1973.5,2104.4,2119,2317.5,2068,2198.7,2245.3,2116,2076.7,2154.3,2224.9,2262.6,2284
1000,Alabama,65,      Administrative and support and waste management and remediation services,3409.7,3551.5,3645.3,3774.2,3795,3728.7,3730.5,3786.1,3933.3,4019,4151.9,4223.3,4291.9,4308.1,4259.8,4182.6,4056,4019.8,4019.4,4134.5,4280.1,4536.6,4859.1,4722.1,4730.6,4685.7,4721.4,4675.1,4838.1,4818.5,4760.1,4791.4,4817,4855.9,4866.9,4943.3,4875.4,5061.7,5172.5,5260.5,5093.1,5215.5,5275.1,5317.9,5267.4,5318.4,5282.7,5348.2,5549.7,5616,5751.6,5846.9,5890.3,5958.4,6064.1,6270.3,6340.8,6440.7,6592.8
1000,Alabama,69,      Educational services,758.8,771,761.2,785.5,799.5,827.9,831.4,839.3,871.5,901.7,938,916.1,922.3,915.4,939.1,994,1044.4,1057.5,1082.6,1117.2,1113.2,1133.6,1159.7,1144.7,1161.2,1166.2,1183.8,1168.5,1186.2,1205.3,1199.4,1199.1,1219.5,1209.4,1221.5,1225.1,1262.4,1262.5,1282,1298.6,1307.5,1307.9,1338.8,1355.8,1380.2,1398.8,1389.2,1385.1,1338.3,1323,1319.3,1313.1,1296.1,1346.1,1328.2,1391.3,1382.3,1371.5,1391.5
1000,Alabama,70,      Health care and social assistance,9731.1,9801.4,9925.1,10140,10347.9,10535.2,10715.6,10717.1,10710.9,10840.4,10964.6,11204.1,11355.1,11549,11781.1,12054.4,12114.9,12279.5,12305,12380.7,12505.1,12501.2,12721.8,12774,12910.1,13006.4,13142.1,13192.7,13399.6,13345.3,13288.2,13525.8,13644.6,13767,13710.5,13904.6,13778.3,14003.6,14164.7,14320.6,14688.3,14653.8,14955.2,14834.1,15122.5,15334.2,15416.1,15429.7,15621,15572.8,15747,15847,16043.6,16312.6,16422.7,16586.5,16935.9,17073.6,17347.3
1000,Alabama,76,"      Arts, entertainment, and recreation",533,519.7,523,534.4,546.9,554.6,548.5,558.7,567.2,581.7,584.1,592.9,581.6,581.4,599.2,623.6,606.8,600.1,622,614.5,628.1,628.5,599.6,593.4,619.9,634.4,621.1,607.1,672.8,676.5,675.6,658.2,673.7,659.5,668.5,695.5,693.5,706.2,722.2,714.2,747.9,686.7,712.9,715.5,733.5,749.4,788,807.6,751.4,779.6,796,817.1,815.4,863.1,862.3,866.1,908.8,906,902.1
1000,Alabama,79,      Accommodation and food services,3453,3480.4,3503,3600.1,3711.7,3722.7,3775.9,3809.7,3826.5,3890.1,3915.4,3988.9,3871.6,3918.1,3946.5,3950.6,3963.2,3958.8,3994.5,3964.1,4107.5,4137.9,4131.6,4138.5,4288,4281.3,4309.6,4351.7,4634.1,4654.4,4671,4747.7,4841.7,4869.1,4907.7,4923.4,4977.5,5108.7,5231.6,5300.8,5383.4,5470.6,5595.2,5645.1,5754.7,5749.1,5760.3,5874.9,5879.8,5940.6,6032.5,6070.2,6181.5,6341.5,6411,6588.8,6606.2,6651,6777.5
1000,Alabama,82,      Other services (except government and government enterprises),4228.1,4251.9,4322.2,4340.8,4446.8,4483.2,4501.1,4531.2,4573.6,4531,4544.4,4546,4543.8,4534.6,4566.9,4602.1,4561.2,4564.9,4568.6,4647.4,4623.3,4703.5,4747.7,4779,4693.2,4719.1,4772.9,4799.2,4825.8,4820.4,4826.9,4847.1,4832.6,4818.8,4870,4939.3,4869.4,5012.2,5126.9,5159.2,5102.7,5176.6,5178.9,5235.1,5168.9,5179.3,5235.7,5209.9,5151.3,5220.7,5323.1,5395.7,5494.6,5622.4,5707,5830.4,5858,5894.3,5987.1
1000,Alabama,83,  Government and government enterprises,24721.5,24974.7,25156.2,25519.8,25466.9,26225.9,26018.4,27124.3,27852.9,28159.9,28374.9,29042.8,28802,29174.9,29571.5,29990.3,30181.6,31015.9,31213.4,31075.2,31216.7,31636.5,31709.5,31413.2,31828.5,32013.8,32185.2,32183.5,32258.8,31917.5,31716.3,32179.6,32112.3,32205.4,32222.6,32370.6,32668.1,32840.4,33242.9,33469.9,33591.4,33965.3,34418.2,34172.7,34215.2,34415,34790.3,35056.3,35305.8,35457.6,35263.7,35847,36159.5,36463,36644.7,36972.1,37102.5,37367.3,37835.8
Legend / Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/ For levels: millions of dollars, seasonally adjusted at annual rates; for annualized percent change and compound growth rate: seasonally adjusted at annual rates. Industry detail is based on the 2012 North American Industry Classification System (NAICS). Calculations are performed on unrounded data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last updated: January 10, 2020-- new statistics for 2019:Q3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
